Material,Data de remessa mais recente,Soma de Saldo,Último UM pedido,Primeiro Fornecedor
30302002960,2023-07-05 00:00:00,300,UN,MAR GIRIUS CONT.I.C.ELET.LT
30302002980,2023-07-05 00:00:00,287,UN,MAR GIRIUS CONT.I.C.ELET.LT
30302003122,2023-07-05 00:00:00,365,UN,CAPITALCOMP COM. ELETRONICA LTDA EP
30302003252,2023-07-05 00:00:00,8000,UN,PROD.ELETRON.METALTEX LTDA
30302003348,2023-07-05 00:00:00,2810,KG,TESSIN IND. COM. LTDA
31000000372,2023-07-05 00:00:00,510,M,YORK INDUSTRIA E COMERCIO DE TECIDO
31000000527,2023-07-05 00:00:00,30,RL,SIGOTEC ARTES GRÁFICAS LTDA
31000000780,2023-07-05 00:00:00,200,UN,BRINDEC EMBLEMAS E ACABAMENTOS
31000000781,2023-07-05 00:00:00,100,UN,BRINDEC EMBLEMAS E ACABAMENTOS
31000000934,2023-07-05 00:00:00,270,UN,DE PAULA CONEXÕES LTDA - E.P.P.
31000001295,2023-07-05 00:00:00,250,UN,CONECTHER IND. DE CHICOTES ELET. LT
31000001332,2023-07-03 00:00:00,1250,UN,CADSERVICE PROD.ELETRON.LTDA.
31000001450,2023-07-05 00:00:00,346,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
31000001451,2023-07-05 00:00:00,420,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
31000001541,2023-07-05 00:00:00,100,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
31000001640,2023-07-05 00:00:00,50,UN,LENTESC IND. DE LENTES E PRISMAS LT
31000001674,2023-07-05 00:00:00,15,UN,LENTESC IND. DE LENTES E PRISMAS LT
31000001890,2023-07-05 00:00:00,796,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
31000001903,2023-07-05 00:00:00,15,PC,VALEXCELL IND. COM. ELET. LTDA
31000001981,2023-07-03 00:00:00,103,UN,WEG LINHARES EQUIP. ELETRICOS S/A
31000001982,2023-07-03 00:00:00,220,UN,WEG LINHARES EQUIP. ELETRICOS S/A
31000001987,2023-07-03 00:00:00,202,UN,CONNECT IND E COM DE EQUIP LTDA
31000002078,2023-07-05 00:00:00,850,UN,CNM Chicotes Elétricos Ltda
31000002118,2023-07-05 00:00:00,700,UN,CONECTHER IND. DE CHICOTES ELET. LT
31000002120,2023-07-05 00:00:00,415,UN,CONECTHER IND. DE CHICOTES ELET. LT
31000002121,2023-07-05 00:00:00,359,UN,CONECTHER IND. DE CHICOTES ELET. LT
31000002122,2023-07-05 00:00:00,308,UN,CONECTHER IND. DE CHICOTES ELET. LT
31000002124,2023-07-05 00:00:00,400,UN,CONECTHER IND. DE CHICOTES ELET. LT
31000002125,2023-07-05 00:00:00,165,UN,WEG DRIVES &CONTROLS AUT. LTDA
31000002126,2023-07-05 00:00:00,216,UN,MAR GIRIUS CONT.I.C.ELET.LT
31000002358,2023-07-05 00:00:00,108,UN,HI-MIX ELETRONICOS S/A
31000002418,2023-07-05 00:00:00,395,UN,RIBERGRAFICA LTDA EPP
31000002471,2023-07-05 00:00:00,650,UN,RIBERGRAFICA LTDA EPP
31000002472,2023-07-05 00:00:00,1294,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
31000002473,2023-07-05 00:00:00,250,UN,BRINDEC EMBLEMAS E ACABAMENTOS
31000002474,2023-07-05 00:00:00,335,UN,BRINDEC EMBLEMAS E ACABAMENTOS
31000002475,2023-07-05 00:00:00,50,UN,BRINDEC EMBLEMAS E ACABAMENTOS
31000002477,2023-07-05 00:00:00,366,UN,HI-MIX ELETRONICOS S/A
31000002511,2023-07-05 00:00:00,250,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
31000002513,2023-07-05 00:00:00,544,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
31000002518,2023-07-05 00:00:00,1000,UN,ONZEONZE AUTOADESIVOS TEC.E PROM. L
31000002538,2023-07-03 00:00:00,500,UN,CNM Chicotes Elétricos Ltda
31000002539,2023-07-05 00:00:00,500,UN,CNM Chicotes Elétricos Ltda
31000002540,2023-07-03 00:00:00,1120,UN,CNM Chicotes Elétricos Ltda
31000002541,2023-07-05 00:00:00,360,UN,DE PAULA CONEXÕES LTDA - E.P.P.
31000002542,2023-07-05 00:00:00,500,UN,CONECTHER IND. DE CHICOTES ELET. LT
31000002546,2023-07-05 00:00:00,1540,UN,CONECTHER IND. DE CHICOTES ELET. LT
31000002547,2023-07-05 00:00:00,1000,UN,CNM Chicotes Elétricos Ltda
31000002548,2023-07-05 00:00:00,397,UN,DE PAULA CONEXÕES LTDA - E.P.P.
31000002549,2023-07-05 00:00:00,765,UN,DE PAULA CONEXÕES LTDA - E.P.P.
31000002550,2023-07-05 00:00:00,360,UN,DE PAULA CONEXÕES LTDA - E.P.P.
31000002615,2023-07-05 00:00:00,1642,UN,CONECTHER IND. DE CHICOTES ELET. LT
